team_name,conference,division
Atlanta Hawks,East,Southeast
Boston Celtics,East,Atlantic
Brooklyn Nets,East,Atlantic
Charlotte Hornets,East,Southeast
Chicago Bulls,East,Central
Cleveland Cavaliers,East,Central
Dallas Mavericks,West,Southwest
Denver Nuggets,West,Northwest
Detroit Pistons,East,Central
Golden State Warriors,West,Pacific
Houston Rockets,West,Southwest
Indiana Pacers,East,Central
LA Clippers,West,Pacific
Los Angeles Lakers,West,Pacific
Memphis Grizzlies,West,Southwest
Miami Heat,East,Southeast
Milwaukee Bucks,East,Central
Minnesota Timberwolves,West,Northwest
New Orleans Pelicans,West,Southwest
New York Knicks,East,Atlantic
Oklahoma City Thunder,West,Northwest
Orlando Magic,East,Southeast
Philadelphia 76ers,East,Atlantic
Phoenix Suns,West,Pacific
Portland Trail Blazers,West,Northwest
Sacramento Kings,West,Pacific
San Antonio Spurs,West,Southwest
Toronto Raptors,East,Atlantic
Utah Jazz,West,Northwest
Washington Wizards,East,Southeast
